Particpant Number: 43, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 11
Particpant Number: 43, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 6
Particpant Number: 43, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 44, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 11
Particpant Number: 44, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 6
Particpant Number: 44, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 44, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 44, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 22
Particpant Number: 44, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 11
Particpant Number: 44, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 6
Particpant Number: 44, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 45, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 12
